"sampleBlogs.txt";"sampleNews.txt";"sampleTwitter.txt"
"“happy”";35;0;0
"“harold";1;0;0
"“have";0;26;30
"“he";35;3;0
"“he’";33;0;0
"“hel�";11;0;0
"“here";0;3;0
"“hes";0;39;0
"“hey";37;0;0
"“host”";2;0;0
"“hot";1;35;0
"“how";55;21;6
"“hows”";1;0;0
"“huge”";3;0;0
"“i";124;285;0
"“i’d";1;0;0
"“i’ll";32;0;0
"“i’m";38;0;0
"“i’v";21;0;0
"“iba";1;0;0
"“if";105;0;0
"“����";23;0;0
"“im";0;4;0
"“imagin";12;0;0
"“immigr";13;0;0
"“imperfect”";7;0;0
"“in";112;1;0
"“inform";0;34;0
"“inglewood";0;4;0
"“innov";1;0;0
"“it";3;127;64
"“it’";91;0;0
"“it’ll";10;0;0
"“it’s“";35;0;0
"“itll";4;0;0
"“jaan";37;0;0
"“jersey";0;28;0
"“joe’";3;0;0
"“joseph";8;0;0
"“lack";0;35;0
"“lamborghini";13;0;0
"“lassi";0;22;0
"“late";0;1;0
"“legends”";0;44;0
"“let";26;0;0
"“litani";0;19;0
"“look";0;3;0
"“lord";30;0;0
"“lycan";44;0;0
"“lyle";24;0;0
"“mac”";9;0;0
"“mad";2;0;0
"“main";9;0;0
"“major";23;0;0
"“marvel’";28;0;0
"“me";1;0;0
"“mess";0;18;0
"“mi";2;21;0
"“midnight";12;0;0
"“militaryindustri";7;0;0
"“miss";0;16;0
"“missing”";22;0;0
"“mommi";0;37;0
"“monumental”";33;0;0
"“moooom”";1;0;0
"“mr";7;0;0
"“nation";8;0;0
"“never";0;0;29
"“no";4;23;0
"“no”";14;0;0
"“not";17;39;63
"“noth";35;0;0
"“nuclear”";34;0;0
"“nutricide”";21;0;0
"“offseason";0;1;0
"“oh";105;1;0
"“okay";6;0;0
"“onc";0;31;0
"“one";5;0;0
"“ooooh";18;0;0
"“packing”";0;20;0
"“pari";23;0;0
"“participatori";37;0;0
"“peter";30;0;0
"“pharmageddon”";21;0;0
"“pig”";26;0;0
"“pleas";25;0;0
"“point";36;0;0
"“post";16;0;0
"“postpon";0;21;0
"“poverti";0;0;21
"“power";0;0;9
"“prefer";3;0;0
"“pressing”";0;1;0
"“princ";23;0;0
"“problematic”";0;24;0
"“professor";1;0;0
"“programm";28;0;0
"“project";37;0;0
"“public";0;30;0
"“push";0;13;0
"“put";2;0;0
"“racial”";2;0;0
"“radic";1;0;0
"“radical”";2;0;0
"“realli";21;0;0
"“regul";1;0;0
"“religi";0;1;0
"“resolved”";20;0;0
"“restaur";8;0;0
"“rhythm";0;4;0
"“risk";13;0;0
"“rt";0;0;6
"“russian";12;0;0
"“rustenburg”";4;0;0
"“safe";42;0;0
"“sandrino”";0;15;0
"“security”";0;3;0
"“she";0;66;0
"“shelter";31;0;0
"“shoot";24;0;0
"“signs�";2;0;0
"“silver";2;0;0
"“silverado”";0;1;0
"“sinc";1;0;0
"“sleep";6;0;0
"“smeg";13;0;0
"“so";39;0;0
"“soft";2;0;0
"“some";0;26;0
"“specul";20;0;0
"“spicey”";30;0;0
"“spineless”";0;0;30
"“spirit”";23;0;0
"“spiritu";23;0;0
"“state";3;0;0
"“still";6;0;0
"“stomp”";0;13;0
"“stopandfrisk”";0;3;0
"“summer";8;0;0
"“tamil";25;0;0
"“tango";37;0;0
"“tell";1;0;0
"“thank";28;0;0
"“that";33;0;0
"“the";126;62;0
"“then";0;1;0
"“there";2;19;0
"“they";52;4;0
"“they’ll";2;0;0
"“theyll";0;6;0
"“third”";4;0;0
"“this";95;27;0
"“through";1;0;0
"“tiger”";35;0;0
"“time”";1;0;0
"“to";0;21;0
"“toxic”";13;0;0
"“tri";2;0;0
"“true";15;0;0
"“two";18;0;0
"“unclean”";0;1;0
"“under";10;0;0
"“units”";2;0;0
"“verbal";24;0;0
"“veri";7;0;0
"“view";2;0;0
"“vital";12;0;0
"“wait";34;0;0
"“wammc";0;15;0
"“war";5;0;0
"“we";81;84;0
"“well";58;36;0
"“were";0;39;0
"“weve";0;36;0
"“what";28;27;0
"“what’";21;0;0
"“when";0;51;0
"“where";11;0;0
"“where”";11;0;0
"“whether";2;0;0
"“whi";1;0;0
"“while";2;12;0
"“whip";18;0;0
"“wow";1;0;0
"“ye";30;0;0
"“yeah";34;0;0
"“yet";20;0;0
"“you";64;31;0
"“you’r";11;0;0
"“youd";0;33;0
"�s";140;0;0
"’";8;0;0
"’s";103;0;0
"�which";2;0;0
"�個�勒�������������應����通的�國��受附�dalles������療問�。";0;33;0
"�sop";0;0;2
"�watch";0;4;0
"�vocateur";0;3;0
"aaa";0;2;0
"aaaah";0;42;0
"aaaand";3;0;0
"aacc";17;0;0
"aaja";1;0;0
"aaja’";1;0;0
"aam";0;0;61
"aamir";37;0;0
"aapl";0;13;0
"aaron";0;22;86
"aarp";0;18;11
"aba";38;0;0
"aback";35;0;0
"abalon";0;33;0
"abandon";87;39;6
"abas";1;0;0
"abat";0;16;0
"abbey";24;42;0
"abbi";25;6;0
"abbington";0;31;0
"abc";50;34;54
"abcteam";0;0;58
"abdelmoneim";0;38;0
"abdomin";36;0;0
"abdul";2;14;0
"abercrombi";0;0;76
"aberdeen";0;43;0
"abeygunasekara";14;0;0
"abid";5;6;0
"abigail";0;31;0
"abil";251;284;162
"abl";629;528;324
"�bn";57;0;0
"abnorm";43;0;0
"aboard";0;24;14
"abod";11;0;0
"abolfotoh";0;38;0
"abolish";0;20;6
"aboout";0;0;37
"abort";0;8;0
"abound";47;10;0
"about";5127;4030;4468
"about�";12;0;0
"about”";35;0;0
"aboutfac";5;0;0
"abov";308;200;80
"above”";2;0;0
"abq";0;0;65
"abraham";0;69;0
"abreast";5;0;0
"abreu";0;43;0
"abroad";70;0;85
"�brown";0;3;0
"abrupt";0;10;0
"abscond";9;0;0
"abseil";31;0;0
"absenc";106;6;0
"absent";11;0;0
"absent”";0;1;0
"absolut";282;137;156
"absorb";22;0;6
"abstin";46;0;0
"abstract";86;34;0
"absurd";31;3;4
"abt";0;0;118
"abund";6;0;43
"abus";226;210;12
"abuse”";24;0;0
"�but";0;10;0
"abv";31;0;0
"abx";0;0;44
"academ";37;56;41
"academi";0;46;0
"acc";0;5;0
"acceler";0;2;3
"accent";72;46;10
"accept";296;140;211
"accepteth";5;0;0
"access";93;161;238
"accessor";132;0;0
"accessori";26;8;1
"accid";82;33;43
"accident";35;3;0
"accommod";71;163;0
"accompani";110;43;0
"accomplish";80;31;63
"accord";268;878;67
"account";425;371;439
"accredit";4;46;0
"accumul";23;0;18
"accur";13;1;0
"accuraci";0;47;0
"accuracywis";0;23;0
"accus";179;123;103
"accusatori";0;36;0
"accustom";13;0;0
"ace";29;0;25
"aceng";0;0;32
"acer";12;0;0
"ach";0;0;25
"achiev";246;241;161
"acid";77;60;59
"ack";0;0;1
"acknowledg";115;97;27
"acmp";22;0;0
"acn";42;0;0
"acne�";20;0;0
"acornth";0;0;3
"acoust";49;1;52
"acquaint";28;0;0
"acquaintance”";7;0;0
"acquiesc";0;5;0
"acquir";64;62;0
"acquisit";35;53;0
"acquit";0;4;0
"acr";39;250;12
"acrl";0;0;62
"across";495;394;79
"acryl";16;4;16
"act";300;446;265
"acta";0;15;0
"action";464;424;325
"action”";1;0;0
"activ";424;215;52
"activis";21;0;0
"activist";28;190;0
"activity”";12;0;0
"activity’";2;0;0
"actor";115;32;8
"actress";31;30;68
"actresslov";0;0;49
"actth";40;0;0
"actual";905;538;401
"actualyl";0;0;3
"acut";20;0;0
"adam";155;278;10
"adapt";103;43;105
"add";617;428;363
"adderley";0;0;1
"addi";0;0;1
"addict";192;44;97
"addinfood";3;0;0
"addison";35;62;0
"addit";311;570;49
"additionscorrect";37;0;0
"addlik";27;0;0
"addon";0;0;61
"address";136;51;142
"addup";19;0;0
"adel";7;23;90
"adenan";24;0;0
"adequ";21;0;0
"adhd";0;0;52
"adher";19;0;38
"adida";0;31;0
"adio";0;0;63
"adjac";32;116;0
"adjoin";1;48;0
"adjust";10;76;5
"adl";0;2;0
"adler";0;29;0
"adm";0;0;58
"administ";42;0;0
"administr";10;446;0
"administrativemarket";0;38;0
"admir";136;89;4
"admiss";14;127;20
"admit";326;182;0
"admithad";0;0;22
"admitt";0;3;0
"admonish";0;1;0
"adnan";20;0;0
"ado";32;0;0
"adob";1;0;0
"adolesc";23;0;0
"adopt";206;141;145
"adopte";76;0;0
"ador";342;8;19
"adorn";2;0;0
"adp";0;1;0
"adrenalin";8;0;0
"adress";30;0;11
"adrian";1;59;45
"adrintro";0;0;9
"adult";222;200;76
"adulteri";1;0;0
"adulthood";8;0;0
"advanc";53;97;72
"advantag";94;175;67
"advent";36;5;0
"adventur";174;64;47
"advers";27;0;0
"adversari";30;0;0
"advert";16;0;0
"advertis";288;112;52
"advertori";33;0;0
"advic";77;73;96
"advil";33;0;0
"advis";26;104;56
"advisor";0;1;5
"advisori";0;38;0
"advoc";20;34;0
"advocaci";37;6;0
"advocate�ar";2;0;0
"adword";0;0;18
"�earlier";0;26;0
"aegean";0;34;0
"aerob";0;0;28
"aeromexico";0;0;13
"aerosmith";0;0;11
"aerospac";0;1;0
"aesthet";0;0;42
"aethelr";10;0;0
"ホ��ド";31;0;0
"afam";0;0;6
"afc";0;2;0
"affair";138;100;0
"affect";81;220;61
"affection";14;0;0
"affili";0;48;5
"affin";0;44;0
"affirm";40;95;0
"affirmationism’";86;0;0
"affleck";0;38;0
"afflict";18;0;0
"afford";40;132;1
"affton";0;6;0
"afghan";24;179;1
"afghanistan";152;150;58
"afi";7;0;0
"aficionado";0;6;0
"afikommen";0;0;33
"afir";1;0;0
"afl";0;3;0
"afloat";16;0;0
"afon";8;0;0
"afor";5;0;0
"aforement";6;0;0
"afoul";0;20;0
"afraid";125;77;7
"afresh";5;0;0
"africa";268;78;0
"africa’";8;0;0
"african";129;5;2
"africanamerican";18;52;0
"afrocentr";0;0;1
"afscm";0;0;6
"after";2314;2946;1337
"afterglow";0;10;0
"aftermath";0;61;0
"afternoon";92;227;214
"afterparti";0;35;7
"aftershock";33;0;0
"afterward";5;90;52
"afterwards”";6;0;0
"マ���";31;0;0
"again";1100;491;981
"again�";0;38;0
"again”";1;8;0
"againhaha";0;0;52
"against";757;1124;317
"againwhil";1;0;0
"agatewar";0;0;61
"age";562;406;282
"agenc";140;371;3
"agenda";49;20;91
"agent";226;177;116
"ageracegend";7;0;0
"�get";0;39;0
"aggress";151;133;0
"aggressor";20;0;0
"aggro";44;0;0
"agha";0;25;0
"agirljustw";0;0;30
"agit";0;2;0
"agnost";16;0;0
"ago";639;494;295
"�go";0;41;0
"ago�";0;38;0
"agoi";0;0;2
"agon";5;0;0
"agoodgirlfriend";0;0;1
"agre";167;276;367
"�great";0;30;0
"agreement";54;107;165
"agricultur";1;39;0
"agron";6;0;0
"agt";0;0;1
"agua";0;34;0
"aguilera";0;31;0
"aha";0;0;111
"ahah";0;0;2
"ahahaha";0;0;8
"ahahahaha";0;0;8
"ahalf";2;0;0
"�he";0;13;0
"ahead";139;92;93
"ahh";0;0;125
"ahha";0;0;30
"ahhhh”";18;0;0
"ahi";0;0;23
"aho";0;0;26
"ahuja";0;17;0
"ahwahne";0;19;0
"aid";67;93;72
"aida";2;0;0
"aidsrel";0;1;0
"�if";0;1;0
"aight";0;0;70
"aika";2;0;0
"ail";9;1;0
"ailment";0;2;0
"aim";163;44;1
"�in";0;9;0
"ain’t";23;0;0
"aint";9;0;337
"aintt";0;0;8
"�investor";0;1;0
"aio";43;0;0
"air";501;326;397
"airbnb";0;27;0
"airborn";0;0;56
"airbrush";80;0;11
"aircellup";6;0;0
"aircraft";19;39;0
"airfar";2;72;0
"airi";4;0;0
"airlift";0;41;0
"airlin";55;85;39
"airplan";0;81;0
"airplanes”";0;29;0
"airport";81;130;15
"airpressur";23;0;0
"airserv";0;5;0
"airtight";0;7;0
"airtraff";0;11;0
"airwav";37;0;58
"airway";0;36;0
"aisl";8;1;0
"ait";220;0;0
"�it";0;52;0
"ajay";8;0;0
"aka";12;50;0
"akbar";30;0;0
"akers’";1;0;0
"akhtar";0;27;0
"akin";0;75;0
"akins";0;5;0
"akron";0;30;1
"akshardham";1;0;0
"ala";24;25;3
"alabama";0;132;28
"alad";0;14;0
"alam";44;0;0
"alameda";0;1;44
"alamo";0;2;0
"alan";69;0;0
"alani";0;0;54
"alapaha";12;0;0
"alarm";66;38;7
"alaska";46;8;65
"alaskan";9;0;0
"alastair";0;4;0
"alba";0;0;48
"albad";14;0;0
"albani";0;3;0
"albazzaz";0;25;0
"albeit";2;1;0
"alber";26;0;0
"alberen";0;0;64
"albert";2;1;117
"alberta";0;1;0
"alberto";0;27;33
"album";304;127;144
"albuquerqu";0;0;12
"albus";0;4;0
"alc";0;0;54
"alcald";1;0;0
"alchemist";10;0;0
"alcohol";59;44;111
"alcoholcontrol";0;1;0
"alcov";16;0;0
"alderman";0;6;0
"aldermen";0;1;0
"aldo";38;0;0
"aldridg";0;41;0
"ale";83;4;0
"alec";0;2;0
"alert";27;7;15
"alessandrini";0;19;0
"alessandro";0;53;0
"alex";0;113;58
"alexand";34;79;0
"alexandra";0;24;65
"alexandria";0;0;21
"alex����";0;0;3
"alexi";2;5;0
"alfcio";0;24;0
"alfonso";1;0;0
"alford";0;20;0
"alfr";162;0;58
"alfred’";31;0;0
"alfredo";4;15;0
"algebra";0;0;59
"ali";0;73;116
"alia";1;0;27
"alias";0;31;0
"alic";2;0;0
"alicia";0;72;8
"alien";46;28;0
"align";61;34;57
"alik";110;1;34
"�like";0;6;0
"alike�your";35;0;0
"alioto";0;40;0
"alison";0;6;2
"alittl";0;0;27
"aliv";80;3;137
"alizza";0;32;0
"all";7241;3536;6872
"all”";0;6;30
"allafricacom";13;0;0
"allah";28;0;0
"allahu";30;0;0
"allan";22;0;0
"allaria";0;1;0
"alleg";161;298;0
"allegheni";0;15;0
"allen";2;39;6
"allentown";0;0;23
"allergi";43;9;45
"allergist";0;8;0
"alley";18;0;0
"alleyoop";0;30;0
"alli";81;0;0
"allianc";29;39;0
"allison";21;20;0
"alllov";14;0;0
"allman";0;0;7
"allmay";0;0;15
"allmiguel";0;0;39
"allnatur";0;7;0
"allnew";3;0;0
"alloc";0;76;0
"allot";5;0;0
"allow";578;462;124
"allpow";2;8;0
"allr";30;0;0
"allrecip";1;0;0
"allrid";0;2;0
"allse";14;0;0
"allstar";0;213;0
"allstarcalib";0;16;0
"allstarweekend";0;0;30
"allstat";0;27;0
"allston";0;0;46
"alltim";0;16;0
"allur";0;4;0
"alma";24;0;2
"almaliki";7;0;0
"almanac";5;0;0
"almighti";24;0;0
"almond";51;2;0
"almost";709;292;547
"aloha";129;69;0
"alon";226;215;489
"alone—took";5;0;0
"alonelol";0;0;1
"along";543;873;9
"alongsid";23;96;0
"alonso";50;0;0
"aloo";7;0;0
"alot";0;0;31
"alotttt";0;0;4
"aloud";35;0;40
"alp";0;4;0
"alpaca";0;23;0
"alpacca’";23;0;0
"alpfa";0;0;44
"alpha";5;0;0
"alqaida";0;2;0
"alrai";52;0;0
"alrashim";0;28;0
"alreadi";639;504;813
"alright";77;0;71
"alsadr";7;0;0
"alshammari";14;0;0
"alshon";0;0;54
"also";2698;3260;958
"alston";0;24;0
"altar";0;22;0
"alter";33;16;0
"alterc";0;33;0
"altern";106;215;57
"altho";0;0;23
"although";343;234;0
"altitud";0;0;41
"altman";37;0;0
"alto";1;61;0
"altogeth";1;2;0
"alton";26;41;46
"altruism";17;0;0
"altruist";49;0;0
"alum";0;0;43
"aluminium";39;0;0
"alumni";0;0;61
"alvarez";0;41;0
"alway";1180;540;1407
"alwayssharpey";1;0;0
"alzheimer’";24;0;0
"ama";0;92;40
"amal";1;0;0
"amanda";0;12;0
"amani";0;33;0
"�mani";0;1;0
"amanti";0;7;0
"amar";0;102;38
"amass";14;0;0
"amateur";1;15;0
"amateur’";1;0;0
"amateurish";2;0;0
"amaz";534;96;1127
"amazing”";0;13;0
"amazon";68;0;10
"amazonca";3;0;0
"amazoncom";39;0;25
"amazoncouk";3;0;0
"amazond";3;0;0
"amazonfr";3;0;0
"amazonit";3;0;0
"ambassador";0;15;0
"amber";0;31;0
"ambianc";0;9;0
"ambient";29;0;0
"ambientneoclass";24;0;0
"ambiga";1;0;0
"ambigu";39;2;0
"ambit";34;0;0
"ambiti";64;38;0
"ambival";19;42;0
"amblyopia";10;0;0
"ambr";0;31;0
"ambul";33;36;0
"ambush";50;0;0
"ame";0;38;0
"amelia";30;0;0
"amen";47;84;54
"amend";31;132;2
"amerenu";0;26;0
"america";275;432;118
"american";470;835;103
"americanstyl";0;4;0
"amethyst’";33;0;0
"amezaga";0;15;0
"amhar";3;0;0
"ami";16;167;2
"amid";0;13;0
"amidst";2;0;0
"amigo";0;0;83
"amini";0;3;0
"amish";9;0;0
"amish—a";6;0;0
"amiss";0;12;0
"amitabh";2;0;0
"amman";0;35;0
"ammo";40;0;0
"ammonium";102;0;0
"ammunit";0;4;0
"amnesti";0;39;0
"amon";0;0;6
"among";406;605;145
"amongst";61;0;1
"amor";0;2;0
"amorim";1;0;0
"amount";390;309;201
"amp";60;0;61
"amphitheat";0;54;0
"amphitheatr";0;44;0
"ampl";4;0;0
"amplifi";18;0;0
"ampm";0;0;15
"amr";0;38;0
"amrich";21;0;0
"amsterdam";46;0;0
"amtrust";0;40;0
"amus";22;21;26
"amz";0;0;3
"ana";1;48;50
"an’";46;0;0
"anaheim";0;13;0
"anai";0;0;13
"anakin";0;0;46
"anal";7;0;0
"analog";34;0;0
"analys";1;0;2
"analysi";31;68;67
"analyst";0;163;0
"analyt";7;0;64
"analyz";12;5;0
"anarch";1;0;0
"anarchist";0;29;0
"anathemrecordscom";0;0;5
"anatom";0;0;8
"anatomi";38;0;0
"anb";6;0;0
"anc";153;0;0
"anc’";84;0;0
"ancestor";30;0;5
"ancho";0;33;0
"anchor";37;51;99
"anchorag";0;0;9
"ancient";47;74;72
"and";54085;44315;20504
"anddddd";1;0;0
"anderson";10;9;106
"andersoncleveland";0;10;0
"andersoncoop";0;0;2
"andi";143;44;0
"andor";220;19;38
"andr";0;7;0
"andrad";1;0;0
"andray";0;22;0
"andrea";4;41;0
"andrei";8;0;0
"andrew";0;189;147
"andril";80;0;0
"android";1;178;31
"androidlolputa";0;0;3
"androl";5;0;0
"andronicus";0;0;4
"andrykowskimendez";0;1;0
"ane";0;1;2
"anem";0;34;0
"anew";22;0;0
"ang";83;0;0
"anganwadi";22;0;0
"angekkok";15;0;0
"angel";188;374;55
"angela";44;0;46
"angelast";0;33;0
"angelia";0;2;0
"angelica";0;30;0
"angelini";0;6;0
"angels’";29;0;0
"angelsk";0;0;14
"anger";109;21;0
"angermanag";0;1;0
"angi";1;0;0
"angl";19;13;0
"angle”";2;0;0
"angler";0;3;0
"angri";69;108;126
"angriest";14;0;0
"angrili";35;0;0
"angst";0;1;0
"angus";18;0;0
"ani";2433;945;1053
"anielski";0;19;0
"anim";285;164;393
"aniston";0;0;57
"ankl";81;162;80
"ann";55;193;45
"anna";70;86;5
"ann��";0;0;29
"annapoli";0;32;43
"annemari";28;0;0
"annex";0;40;0
"anniversari";45;109;65
"annot";0;0;7
"announc";109;422;185
"annoy";87;0;30
"annual";77;425;97
"ano";29;0;0
"anon";5;0;0
"anonym";89;91;0
"anoth";1493;1381;953
"ansari";0;0;47
"ansarulislam";43;0;0
"ansf";23;0;0
"ansu";0;34;0
"answer";432;242;190
"ant";0;4;0
"antagonist";2;0;0
"antarctica";0;24;0
"antawn";0;16;0
"antenna";0;15;12
"anthem";35;30;58
"anthoni";5;227;0
"anthropolog";28;0;0
"anthropologist";17;0;31
"anti";43;0;4
"antiaccess";0;1;0
"antiassimilationist";0;37;0
"antibatista";0;34;0
"antibiot";2;0;0
"antibulli";17;0;0
"anticip";77;22;0
"anticipatori";12;0;0
"anticom";11;0;0
"antidepress";19;0;0
"antifascist";1;0;0
"antigen";0;24;0
"antihero";0;38;0
"antiillegalimmigr";0;3;0
"antiintellectu";31;0;0
"antileg";0;32;0
"antimarijuana";0;14;0
"antimicrobi";3;9;0
"antioxid";0;36;0
"antipakistan";43;0;0
"antipod";20;0;0
"antiqu";0;6;67
"antisemit";36;0;0
"antitrust";0;37;0
"antler";1;0;0
"antonia";0;30;0
"antonio";12;70;48
"anus";0;14;0
"anwar";0;32;0
"anxieti";189;17;9
"anxious";97;0;0
"anya";70;0;0
"anybodi";85;121;167
"anyday";0;0;60
"anyhoo";14;0;0
"anymor";175;98;104
"anymore”";1;0;0
"anyon";408;361;496
"anyoneu";0;0;18
"anyplac";0;4;0
"anyth";753;282;462
"anythingther";0;0;1
"anytim";9;23;186
"anyway";216;39;176
"anywher";127;12;80
"aoc";0;10;0
"✈";0;0;12
"✔";0;0;42
"aol";0;39;0
"aoun";0;9;0
"apac";35;0;0
"apart";255;279;174
"apartheid";46;0;0
"apartment”";3;0;0
"apathi";0;0;11
"apc";0;0;57
"ape";0;0;31
"�personnel";0;39;0
"aphid";0;10;0
"aphor";1;0;0
"api";0;0;52
"apiari";0;2;0
"apiec";0;6;0
"aplen";19;0;0
"apocalyps";0;0;67
"apocalypt";1;0;0
"apocalyptour";0;45;0
"apollo";0;0;13
"apolog";231;98;42
"apologis";25;0;0
"apologize";0;0;42
"app";0;53;355
"appal";0;19;0
"appar";229;252;141
"apparatus";0;12;0
"appeal";181;153;1
"appeal’";33;0;0
"appear";546;532;29
"appeas";37;0;0
"appel";17;28;0
"appendix";0;4;0
"appet";39;1;0
"appetit";20;23;0
"appl";49;91;226
"applaud";8;0;0
"applaus";0;68;62
"appledow";0;3;0
"applesauc";66;0;0
"applewhit";0;15;0
"appli";120;247;186
"applianc";10;0;44
"applic";169;142;16
"appliqu�";25;0;0
"appoint";157;56;67
"appointe";1;28;0
"apprais";0;1;0
"appreci";108;130;279
"appreciatt";0;0;1
"apprehens";7;0;0
"apprentic";23;0;0
"apprenticeship";9;0;0
"approach";187;221;50
"appropri";127;112;83
"approv";0;295;46
"approx";2;0;0
"approxim";115;174;36
"appt";0;0;1
"apr";0;0;29
"�preforeclosur";0;22;0
"apresi";0;0;71
"apricot";3;0;0
"april";198;654;309
"apriljun";0;10;0
"apropo";9;0;0
"apt";15;25;16
"apulia";1;0;0
"apush";0;0;44
"aqaba";11;0;0
